,0,1
0,gdb9_1,Failed on openmm_solv0: cannot access local variable 'gaff' where it is not associated with a value
1,gdb9_2,Failed on openmm_solv1: cannot access local variable 'gaff' where it is not associated with a value
2,gdb9_3,Failed on openmm_solv2: cannot access local variable 'gaff' where it is not associated with a value
3,gdb9_4,Failed on openmm_solv3: cannot access local variable 'gaff' where it is not associated with a value
4,gdb9_5,Failed on openmm_solv4: cannot access local variable 'gaff' where it is not associated with a value
5,gdb9_6,Failed on openmm_solv5: cannot access local variable 'gaff' where it is not associated with a value
6,gdb9_7,Failed on openmm_solv6: cannot access local variable 'gaff' where it is not associated with a value
7,gdb9_8,Failed on openmm_solv7: cannot access local variable 'gaff' where it is not associated with a value
8,gdb9_9,Failed on openmm_solv8: cannot access local variable 'gaff' where it is not associated with a value
9,gdb9_10,Failed on openmm_solv9: cannot access local variable 'gaff' where it is not associated with a value
